seed,N,MixingLevel,metric_name,value
0,5,0,tau,0.03126084925606891
0,5,0,alpha,0.2
0,5,0,m_pred,3.0
0,5,0,acc,0.6
0,5,0,precision,0.3333333333333333
0,5,0,recall,1.0
0,5,0,f1,0.5
0,5,0,roc_auc,0.75
0,5,0,pr_auc,0.5
0,5,0,fp_per_scenario,2.0
0,5,0,fp_per_user,0.5
0,5,0,top1,0.0
0,5,0,top3,1.0
0,5,0,top5,1.0
0,5,1,tau,0.0398942023515702
0,5,1,alpha,0.2
0,5,1,m_pred,3.0
0,5,1,acc,0.6
0,5,1,precision,0.3333333333333333
0,5,1,recall,1.0
0,5,1,f1,0.5
0,5,1,roc_auc,1.0
0,5,1,pr_auc,1.0
0,5,1,fp_per_scenario,2.0
0,5,1,fp_per_user,0.5
0,5,1,top1,1.0
0,5,1,top3,1.0
0,5,1,top5,1.0
0,5,2,tau,0.014846012182533749
0,5,2,alpha,0.2
0,5,2,m_pred,3.0
0,5,2,acc,0.6
0,5,2,precision,0.3333333333333333
0,5,2,recall,1.0
0,5,2,f1,0.5
0,5,2,roc_auc,0.75
0,5,2,pr_auc,0.5
0,5,2,fp_per_scenario,2.0
0,5,2,fp_per_user,0.5
0,5,2,top1,0.0
0,5,2,top3,1.0
0,5,2,top5,1.0
0,5,3,tau,0.006043387204408651
0,5,3,alpha,0.2
0,5,3,m_pred,3.0
0,5,3,acc,0.6
0,5,3,precision,0.3333333333333333
0,5,3,recall,1.0
0,5,3,f1,0.5
0,5,3,roc_auc,1.0
0,5,3,pr_auc,1.0
0,5,3,fp_per_scenario,2.0
0,5,3,fp_per_user,0.5
0,5,3,top1,1.0
0,5,3,top3,1.0
0,5,3,top5,1.0
0,5,4,tau,0.0173189003020525
0,5,4,alpha,0.2
0,5,4,m_pred,3.0
0,5,4,acc,0.6
0,5,4,precision,0.3333333333333333
0,5,4,recall,1.0
0,5,4,f1,0.5
0,5,4,roc_auc,1.0
0,5,4,pr_auc,1.0
0,5,4,fp_per_scenario,2.0
0,5,4,fp_per_user,0.5
0,5,4,top1,1.0
0,5,4,top3,1.0
0,5,4,top5,1.0
